Stable ID	Area or source	Usage	English source	Spanish draft	Translator correction	Review status	Translator notes	Protected placeholders
GW-0022	WhyGhostWriterView.swift	Visible interface	A word misspelled here and there, some transposed or switched. They'd go back up into their code and find the errors and go fix them. Hitting render again would cause even more spooky mayhem to happen. New words appearing, words getting duplicated, even little ghost emojis popping up here and there. Each render caused even more chaos!	Alguna palabra aparecía mal escrita, con letras transpuestas o cambiadas. Volvían al código, encontraban los errores y los corregían. Al volver a renderizar, ocurrían cosas aún más inquietantes: aparecían palabras nuevas, otras se duplicaban e incluso surgían pequeños emojis de fantasmas. ¡Cada renderizado provocaba todavía más caos!		Needs review		
GW-0023	SettingsView.swift	Visible interface	About	Acerca de		Needs review		
GW-0024	AcknowledgementsView.swift	Visible interface	Acknowledgements	Agradecimientos		Needs review		
GW-0025	EBrailleWriter.swift	Visible interface	Add a description to the tactile graphic %@ before exporting.	Añade una descripción al gráfico táctil %@ antes de exportar.		Needs review		%@
GW-0026	OutlineView.swift	Visible interface	Add a heading by starting a line with a number sign, like # Introduction.	Añade un encabezado comenzando una línea con una almohadilla, como # Introducción.		Needs review		
GW-0027	MarkdownInsertionView.swift	Visible interface	Address	Dirección		Needs review		
GW-0028	AppSettings.swift	Visible interface	Announces Light feedback and completed Markdown structures as you type.	Anuncia los avisos del nivel Ligero y las estructuras Markdown completadas mientras escribes.		Needs review		
GW-0029	AppSettings.swift	Visible interface	Announces list changes, indentation levels, and Insert actions.	Anuncia los cambios de lista, los niveles de sangría y las acciones de Insertar.		Needs review		
GW-0030	SettingsView.swift	Visible interface	App Launch	Inicio de la app		Needs review		
GW-0031	SettingsView.swift	Visible interface	Appearance	Apariencia		Needs review		
GW-0032	WhyGhostWriterView.swift	Visible interface	As victims...er...users practiced their markdown, they'd press the render button to check out how the HTML structure was being formed. Yet every time they went to inspect the rendered output, things would be off.	Mientras las víctimas... ejem... las personas usuarias practicaban Markdown, pulsaban el botón Renderizar para comprobar cómo se formaba la estructura HTML. Sin embargo, cada vez que examinaban el resultado renderizado, algo no estaba bien.		Needs review		
GW-0033	NewDocumentCreationMode.swift	Visible interface	Ask for a Title	Pedir un título		Needs review		
GW-0034	SettingsView.swift	Visible interface	Ask for a Title opens the naming screen. Use Today’s Date creates and opens the document immediately. You can rename it later from File Actions.	Pedir un título abre la pantalla para asignar un nombre. Usar la fecha de hoy crea y abre el documento inmediatamente. Puedes renombrarlo más tarde desde Acciones de archivo.		Needs review		
GW-0035	MarkdownInsertionView.swift	Visible interface	Attach and insert	Adjuntar e insertar		Needs review		
GW-0036	MarkdownInsertionView.swift	Visible interface	Attaching…	Adjuntando…		Needs review		
GW-0037	EBrailleMetadataSettingsView.swift	Visible interface	Author	Autor		Needs review		
GW-0038	DocumentLanguage.swift	Visible interface	Automatic (device language)	Automático (idioma del dispositivo)		Needs review		
GW-0039	SettingsView.swift	Visible interface	Automatic Lists	Listas automáticas		Needs review		
GW-0040	AcknowledgementsView.swift	Visible interface	Back	Atrás		Needs review		
GW-0041	LibraryView.swift	Visible interface	Back to %@	Volver a %@		Needs review		%@
GW-0042	LineStructure.swift	Visible interface	Blank line	Línea en blanco		Needs review		
GW-0043	MarkdownInsertion.swift	Visible interface	Block quote applied.	Cita en bloque aplicada.		Needs review		
GW-0044	MarkdownInsertion.swift	Visible interface	Bold applied.	Negrita aplicada.		Needs review		
GW-0045	BRFOptionsView.swift	Visible interface	Braille code	Código braille		Needs review		
GW-0046	BRFOptionsView.swift	Visible interface	Braille Ready Format	Formato Braille Ready		Needs review		
GW-0047	AcknowledgementsView.swift	Visible interface	Braille translation for eBraille and Braille Ready Format export. Version 3.38.0, built from the upstream release source for iOS.	Traducción braille para exportaciones eBraille y Braille Ready Format. Versión 3.38.0, compilada para iOS a partir del código fuente de la versión original.		Needs review		
GW-0048	MarkdownInsertionView.swift	Visible interface	Briefly identify the tactile graphic and the information it presents. This description is used when the graphic cannot be displayed.	Identifica brevemente el gráfico táctil y la información que presenta. Esta descripción se usa cuando el gráfico no se puede mostrar.		Needs review		
GW-0049	MarkdownInsertion.swift	Visible interface	Bulleted list created.	Lista con viñetas creada.		Needs review		
GW-0050	BRFOptionsView.swift	Visible interface	Cancel	Cancelar		Needs review		
GW-0051	BRFOptionsView.swift	Visible interface	Cells per line	Celdas por línea		Needs review		
GW-0052	ICloudMigrationView.swift	Visible interface	Change Document Storage	Cambiar almacenamiento de documentos		Needs review		
GW-0053	SettingsView.swift	Visible interface	Character Count	Número de caracteres		Needs review		
GW-0054	DocumentStorage.swift	Visible interface	Checking iCloud Drive.	Comprobando iCloud Drive.		Needs review		
GW-0055	MarkdownInsertionView.swift	Visible interface	Choose an SVG, PNG, or JPG file that was prepared for tactile presentation.	Elige un archivo SVG, PNG o JPG preparado para su presentación táctil.		Needs review		
GW-0056	MarkdownInsertionView.swift	Visible interface	Choose another file…	Elegir otro archivo…		Needs review		
GW-0057	MarkdownInsertionView.swift	Visible interface	Choose file…	Elegir archivo…		Needs review		
GW-0058	LibraryView.swift	Visible interface	Clear Search	Borrar búsqueda		Needs review		
GW-0059	LibraryView.swift	Visible interface	Clears the search and shows all items	Borra la búsqueda y muestra todos los elementos		Needs review		
GW-0060	ShareSheet.swift	Visible interface	Close	Cerrar		Needs review		
GW-0061	EditorView.swift	Visible interface	Close Without Saving	Cerrar sin guardar		Needs review		
GW-0062	LineStructure.swift	Visible interface	Code	Código		Needs review		
GW-0063	MarkdownInsertion.swift	Visible interface	Code block created.	Bloque de código creado.		Needs review		
GW-0064	LineStructure.swift	Visible interface	Code fence	Delimitador de código		Needs review		
GW-0065	TableInsertionView.swift	Visible interface	Columns	Columnas		Needs review		
GW-0066	EBrailleMetadataSettingsView.swift	Visible interface	Complete document	Documento completo		Needs review		
GW-0067	WelcomeView.swift	Visible interface	Continue to Library	Continuar a la biblioteca		Needs review		
GW-0068	SettingsView.swift	Visible interface	Continues bullets and numbering when you press return	Continúa las viñetas y la numeración al pulsar Retorno		Needs review		
GW-0069	LibraryView.swift	Visible interface	Copies Markdown, plain-text, or Word documents into ghostWriter	Copia documentos Markdown, de texto sin formato o de Word en ghostWriter		Needs review		
GW-0070	SettingsView.swift	Visible interface	Copy Email Address	Copiar dirección de correo		Needs review		
GW-0071	EBrailleMetadataSettingsView.swift	Visible interface	Copyright date	Fecha de copyright		Needs review		
GW-0072	DocumentStore.swift	Visible interface	Could not %@ %@. %@	No se pudo %@ %@. %@		Needs review		%@, %@, %@
GW-0073	MarkdownInsertionView.swift	Visible interface	Could Not Attach Tactile Graphic	No se pudo adjuntar el gráfico táctil		Needs review		
GW-0074	ICloudMigrationView.swift	Visible interface	Could Not Change Storage	No se pudo cambiar el almacenamiento		Needs review		
GW-0075	DocumentStore.swift	Visible interface	Could not check %@ for changes. %@	No se pudo comprobar si %@ tenía cambios. %@		Needs review		%@, %@
GW-0076	DocumentStore.swift	Visible interface	Could not create a document because the selected document storage is unavailable.	No se pudo crear un documento porque el almacenamiento de documentos seleccionado no está disponible.		Needs review		
GW-0077	DocumentStore.swift	Visible interface	Could not create a folder outside the document library.	No se pudo crear una carpeta fuera de la biblioteca de documentos.		Needs review		
GW-0078	DocumentStore.swift	Visible interface	Could not create a new document because iCloud placement was not started.	No se pudo crear un documento nuevo porque no se inició su ubicación en iCloud.		Needs review		
GW-0079	DocumentStore.swift	Visible interface	Could not create a new document in iCloud. %@	No se pudo crear un documento nuevo en iCloud. %@		Needs review		%@
GW-0080	DocumentStore.swift	Visible interface	Could not create a new document. %@	No se pudo crear un documento nuevo. %@		Needs review		%@
GW-0081	DocumentStore.swift	Visible interface	Could not create the folder. %@	No se pudo crear la carpeta. %@		Needs review		%@
GW-0082	DocumentStore.swift	Visible interface	Could not delete %@. %@	No se pudo eliminar %@. %@		Needs review		%@, %@
GW-0083	DocumentStore.swift	Visible interface	Could not download the images for %@. %@	No se pudieron descargar las imágenes de %@. %@		Needs review		%@, %@
GW-0084	DocumentStore.swift	Visible interface	Could not duplicate %@ because iCloud placement was not started.	No se pudo duplicar %@ porque no se inició su ubicación en iCloud.		Needs review		%@
GW-0085	DocumentStore.swift	Visible interface	Could not duplicate %@ in iCloud. %@	No se pudo duplicar %@ en iCloud. %@		Needs review		%@, %@
GW-0086	DocumentStore.swift	Visible interface	Could not duplicate %@. %@	No se pudo duplicar %@. %@		Needs review		%@, %@
GW-0087	DocumentStore.swift	Visible interface	Could not import %@. %@	No se pudo importar %@. %@		Needs review		%@, %@
GW-0088	DocumentStore.swift	Visible interface	Could not import documents because iCloud placement was not started.	No se pudieron importar documentos porque no se inició su ubicación en iCloud.		Needs review		
GW-0089	LibraryView.swift	Visible interface	Could not import the selected files. %@	No se pudieron importar los archivos seleccionados. %@		Needs review		%@
GW-0090	DocumentStore.swift	Visible interface	Could not move %@ outside the document library.	No se pudo mover %@ fuera de la biblioteca de documentos.		Needs review		%@
GW-0091	DocumentStore.swift	Visible interface	Could not move %@. %@	No se pudo mover %@. %@		Needs review		%@, %@
GW-0092	DocumentStore.swift	Visible interface	Could not open %@. The original file was not changed. %@	No se pudo abrir %@. El archivo original no se modificó. %@		Needs review		%@, %@
GW-0093	DocumentStore.swift	Visible interface	Could not open the destination folder. %@	No se pudo abrir la carpeta de destino. %@		Needs review		%@
GW-0094	DocumentStore.swift	Visible interface	Could not open the ghostWriter folder. %@	No se pudo abrir la carpeta ghostWriter. %@		Needs review		%@
GW-0095	DocumentStore.swift	Visible interface	Could not permanently delete %@. %@	No se pudo eliminar %@ permanentemente. %@		Needs review		%@, %@
GW-0096	LibraryView.swift	Visible interface	Could not prepare %@ for sharing. %@	No se pudo preparar %@ para compartirlo. %@		Needs review		%@, %@
GW-0097	DocumentStore.swift	Visible interface	Could not refresh deleted folders. %@	No se pudieron actualizar las carpetas eliminadas. %@		Needs review		%@
GW-0098	DocumentStore.swift	Visible interface	Could not refresh Recently Deleted. %@	No se pudo actualizar Eliminados recientemente. %@		Needs review		%@
GW-0099	DocumentStore.swift	Visible interface	Could not refresh the document library. %@	No se pudo actualizar la biblioteca de documentos. %@		Needs review		%@
GW-0100	DocumentStore.swift	Visible interface	Could not refresh the folder library. %@	No se pudo actualizar la biblioteca de carpetas. %@		Needs review		%@
GW-0101	DocumentStore.swift	Visible interface	Could not rename to %@. %@	No se pudo cambiar el nombre a %@. %@		Needs review		%@, %@
GW-0102	DocumentStore.swift	Visible interface	Could not restore %@. %@	No se pudo restaurar %@. %@		Needs review		%@, %@
GW-0103	DocumentStore.swift	Visible interface	Could not save because the selected document storage is unavailable.	No se pudo guardar porque el almacenamiento de documentos seleccionado no está disponible.		Needs review		
GW-0104	DocumentStore.swift	Visible interface	Could not save. %@	No se pudo guardar. %@		Needs review		%@
GW-0105	NewDocumentView.swift	Visible interface	Create	Crear		Needs review		
GW-0106	EBrailleOptionsView.swift	Visible interface	Creates a reflowable braille document using the eBraille 1.0 format.	Crea un documento braille adaptable con el formato eBraille 1.0.		Needs review		
GW-0107	ICloudMigrationView.swift	Visible interface	Current	Actual		Needs review		
GW-0108	SettingsView.swift	Visible interface	Current Line and Column	Línea y columna actuales		Needs review		
GW-0109	BRFOptionsView.swift	Visible interface	Custom display layout	Diseño de pantalla personalizado		Needs review		
GW-0110	SettingsView.swift	Visible interface	Customize Status Bar	Personalizar barra de estado		Needs review		
GW-0111	AppSettings.swift	Visible interface	Dark	Oscuro		Needs review		
GW-0112	SortOrder.swift	Visible interface	Date Created	Fecha de creación		Needs review		
GW-0113	SortOrder.swift	Visible interface	Date Modified	Fecha de modificación		Needs review		
GW-0114	LibraryView.swift	Visible interface	Delete	Eliminar		Needs review		
GW-0115	RecentlyDeletedView.swift	Visible interface	Delete %@ Permanently	Eliminar %@ permanentemente		Needs review		%@
GW-0116	LibraryView.swift	Visible interface	Delete Document?	¿Eliminar el documento?		Needs review		
GW-0117	LibraryView.swift	Visible interface	Delete Folder?	¿Eliminar la carpeta?		Needs review		
GW-0118	RecentlyDeletedView.swift	Visible interface	Delete Permanently	Eliminar permanentemente		Needs review		
GW-0119	RecentlyDeletedView.swift	Visible interface	Delete Permanently?	¿Eliminar permanentemente?		Needs review		
GW-0120	LibraryView.swift	Visible interface	Deleted	Eliminado		Needs review		
GW-0121	LibraryView.swift	Visible interface	Deleted, %@	Eliminado, %@		Needs review		%@
GW-0122	EBrailleMetadataSettingsView.swift	Visible interface	Description	Descripción		Needs review		
GW-0123	DocumentLanguageView.swift	Visible interface	Dismiss	Ocultar		Needs review		
GW-0124	DocumentLanguageView.swift	Visible interface	Dismiss keyboard	Ocultar teclado		Needs review		
GW-0125	RecentlyDeletedView.swift	Visible interface	Document	Documento		Needs review		
GW-0126	EditorView.swift	Visible interface	Document Changed in Files	Documento modificado en Archivos		Needs review		
GW-0127	DocumentLanguageView.swift	Visible interface	Document language	Idioma del documento		Needs review		
GW-0128	EditorView.swift	Visible interface	Document Language…	Idioma del documento…		Needs review		
GW-0129	EditorView.swift	Visible interface	Document Removed in Files	Documento eliminado en Archivos		Needs review		
GW-0130	SettingsView.swift	Visible interface	Document Storage	Almacenamiento de documentos		Needs review		
GW-0131	ICloudMigrationView.swift	Visible interface	Document storage changed, but ghostWriter could not remove every old local copy.	El almacenamiento de documentos cambió, pero ghostWriter no pudo eliminar todas las copias locales anteriores.		Needs review		
GW-0132	EditorView.swift	Visible interface	Documents	Documentos		Needs review		
GW-0133	RecentlyDeletedView.swift	Visible interface	Documents and folders moved here can be restored until they are deleted permanently.	Los documentos y carpetas que se muevan aquí se pueden restaurar hasta que se eliminen permanentemente.		Needs review		
GW-0134	WelcomeView.swift	Visible interface	Documents are stored On This Device by default. You can choose optional iCloud Drive syncing later in Settings.	De forma predeterminada, los documentos se almacenan En este dispositivo. Puedes activar más tarde la sincronización opcional con iCloud Drive en Ajustes.		Needs review		
GW-0135	DocumentStorage.swift	Visible interface	Documents are stored only on this device.	Los documentos se almacenan únicamente en este dispositivo.		Needs review		
GW-0136	DocumentStorage.swift	Visible interface	Documents sync with iCloud Drive.	Los documentos se sincronizan con iCloud Drive.		Needs review		
GW-0137	MarkdownReferenceView.swift	Visible interface	Done	Listo		Needs review		
GW-0138	DocumentAvailability.swift	Visible interface	Download failed	Error de descarga		Needs review		
GW-0139	DocumentAvailability.swift	Visible interface	Downloading	Descargando		Needs review		
GW-0140	DocumentAvailability.swift	Visible interface	Downloading, %lld percent	Descargando, %lld por ciento		Needs review		%lld
GW-0141	EditorView.swift	Visible interface	Duplicate	Duplicar		Needs review		
GW-0142	EditorView.swift	Visible interface	eBraille	eBraille		Needs review		
GW-0143	EBrailleOptionsView.swift	Visible interface	eBraille export	Exportación eBraille		Needs review		
GW-0144	EBrailleMetadataSettingsView.swift	Visible interface	eBraille metadata	Metadatos de eBraille		Needs review		
GW-0145	SettingsView.swift	Visible interface	Edit defaults	Editar valores predeterminados		Needs review		
GW-0146	SettingsView.swift	Visible interface	Editing	Edición		Needs review		
GW-0147	SettingsView.swift	Visible interface	Editor Font	Fuente del editor		Needs review		
GW-0148	SettingsView.swift	Visible interface	Editor Status	Estado del editor		Needs review		
GW-0149	EBrailleMetadataSettingsView.swift	Visible interface	Education level	Nivel educativo		Needs review		
GW-0150	RecentlyDeletedView.swift	Visible interface	Empty	Vacío		Needs review		
GW-0151	RecentlyDeletedView.swift	Visible interface	Empty Recently Deleted	Vaciar Eliminados recientemente		Needs review		
GW-0152	RecentlyDeletedView.swift	Visible interface	Empty Recently Deleted?	¿Vaciar Eliminados recientemente?		Needs review		
GW-0153	SettingsView.swift	Visible interface	Enables ghostWriter commands for a hardware keyboard	Activa los comandos de ghostWriter para un teclado físico		Needs review		
GW-0154	EBrailleMetadata.swift	Visible interface	Enter a copyright date as a year, year and month, or full date.	Introduce la fecha de copyright como año, año y mes o fecha completa.		Needs review		
GW-0155	LineNavigation.swift	Visible interface	Enter a Line Number	Introducir un número de línea		Needs review		
GW-0156	EditorView.swift	Visible interface	Enter a line number from 1 through %lld.	Introduce un número de línea entre 1 y %lld.		Needs review		%lld
GW-0157	EditorView.swift	Visible interface	Enter a new name for this document.	Introduce un nombre nuevo para este documento.		Needs review		
GW-0158	LibraryView.swift	Visible interface	Enter a new name for this folder.	Introduce un nombre nuevo para esta carpeta.		Needs review		
GW-0159	LineNavigation.swift	Visible interface	Enter a whole number from 1 through %lld.	Introduce un número entero entre 1 y %lld.		Needs review		%lld
GW-0160	EBrailleMetadataSettingsView.swift	Visible interface	Enter a year, a year and month, or a full date.	Introduce un año, un año y un mes o una fecha completa.		Needs review		
GW-0161	MarkdownInsertionView.swift	Visible interface	Enter alternative text and the full image address, such as https://example.com/photo.jpg. Leave alternative text empty only when the image is decorative.	Introduce el texto alternativo y la dirección completa de la imagen, como https://example.com/photo.jpg. Deja vacío el texto alternativo solo si la imagen es decorativa.		Needs review		
GW-0162	EBrailleMetadata.swift	Visible interface	Enter the author or enter Unknown when the author is not known.	Introduce el autor o escribe Desconocido si no se conoce.		Needs review		
GW-0163	MarkdownInsertionView.swift	Visible interface	Enter the link text and full address, such as https://example.com.	Introduce el texto del enlace y la dirección completa, como https://example.com.		Needs review		
GW-0164	EBrailleMetadata.swift	Visible interface	Enter the person or organization producing this braille edition.	Introduce la persona u organización que produce esta edición braille.		Needs review		
GW-0165	EditorView.swift	Visible interface	EPUB	EPUB		Needs review		
GW-0166	DocumentLanguageView.swift	Visible interface	es-MX	es-MX		Needs review		
GW-0167	WhyGhostWriterView.swift	Visible interface	Eventually I actually turned it into a real markdown editor and education system that I used for students to utilize during a Markdown class I taught, and left the spookiness as a setting that could be turned on in the settings.	Con el tiempo lo convertí en un verdadero editor de Markdown y en un sistema educativo que utilicé con estudiantes durante una clase de Markdown. Dejé los sucesos inquietantes como una opción que se podía activar en los ajustes.		Needs review		
GW-0168	RecentlyDeletedView.swift	Visible interface	Every item in Recently Deleted will be permanently deleted. This cannot be undone.	Todos los elementos de Eliminados recientemente se borrarán permanentemente. Esta acción no se puede deshacer.		Needs review		
GW-0169	WelcomeView.swift	Visible interface	Explore Welcome Document	Explorar el documento de bienvenida		Needs review		
GW-0170	BRFOptionsView.swift	Visible interface	Export and share…	Exportar y compartir…		Needs review		
GW-0171	MarkdownInsertionView.swift	Visible interface	File	Archivo		Needs review		
GW-0172	EditorView.swift	Visible interface	File actions	Acciones de archivo		Needs review		
GW-0173	EditorView.swift	Visible interface	File Actions	Acciones de archivo		Needs review		
GW-0174	SettingsView.swift	Visible interface	Files	Archivos		Needs review		
GW-0175	SettingsView.swift	Visible interface	Fills in new eBraille exports. You can edit these values before sharing.	Rellena las nuevas exportaciones eBraille. Puedes editar estos valores antes de compartir.		Needs review		
GW-0176	EditorView.swift	Visible interface	Find and Replace	Buscar y reemplazar		Needs review		
GW-0177	RecentlyDeletedView.swift	Visible interface	Folder	Carpeta		Needs review		
GW-0178	AppSettings.swift	Visible interface	Follow System	Seguir el sistema		Needs review		
GW-0179	AppSettings.swift	Visible interface	Full	Completa		Needs review		
GW-0180	DocumentMigration.swift	Visible interface	ghostWriter could not verify %@ after copying it.	ghostWriter no pudo verificar %@ después de copiarlo.		Needs review		%@
GW-0181	EditorView.swift	Visible interface	ghostWriter Error	Error de ghostWriter		Needs review		
GW-0182	WelcomeView.swift	Visible interface	ghostWriter includes a Welcome document in your Library. Open it to read, edit, and render examples of the Markdown supported by the app.	ghostWriter incluye un documento de bienvenida en tu biblioteca. Ábrelo para leer, editar y renderizar ejemplos del Markdown compatible con la app.		Needs review		
GW-0183	LibraryView.swift	Visible interface	ghostWriter Markdown	ghostWriter Markdown		Needs review		
GW-0184	WelcomeView.swift	Visible interface	ghostWriter Markdown is an accessible plain-text editor for notes, articles, lists, and more.	ghostWriter Markdown es un editor accesible de texto sin formato para notas, artículos, listas y mucho más.		Needs review		
GW-0185	ICloudMigrationView.swift	Visible interface	ghostWriter will move your complete library from iCloud Drive onto this device. After verification, those documents will no longer sync through iCloud.	ghostWriter moverá toda tu biblioteca de iCloud Drive a este dispositivo. Después de verificarla, esos documentos dejarán de sincronizarse mediante iCloud.		Needs review		
GW-0186	ICloudMigrationView.swift	Visible interface	ghostWriter will move your complete library to iCloud Drive. Documents, renames, edits, and deletions will then sync to your other devices using the same iCloud account. iCloud syncing is not an independent backup.	ghostWriter moverá toda tu biblioteca a iCloud Drive. Los documentos, los cambios de nombre, las ediciones y las eliminaciones se sincronizarán con tus otros dispositivos que usen la misma cuenta de iCloud. La sincronización con iCloud no es una copia de seguridad independiente.		Needs review		
GW-0187	MarkdownTextView.swift	Visible interface	Heading %lld of %lld, %@, heading level %lld.	Encabezado %lld de %lld, %@, nivel de encabezado %lld.		Needs review		%lld, %lld, %@, %lld
GW-0188	SettingsView.swift	Visible interface	Heading Level	Nivel del encabezado		Needs review		
GW-0189	LineStructure.swift	Visible interface	Heading level %lld	Encabezado de nivel %lld		Needs review		%lld
GW-0190	MarkdownInsertion.swift	Visible interface	Heading level %lld applied.	Encabezado de nivel %lld aplicado.		Needs review		%lld
GW-0191	MarkdownTypingAnnouncement.swift	Spoken or accessibility	Heading level %lld.	Encabezado de nivel %lld.		Needs review		%lld
GW-0192	SettingsView.swift	Visible interface	Heading Swipe Navigation	Navegación por encabezados con gestos		Needs review		
GW-0193	HelpView.swift	Visible interface	Help	Ayuda		Needs review		
GW-0194	LineStructure.swift	Visible interface	Horizontal rule	Línea horizontal		Needs review		
GW-0195	MarkdownInsertion.swift	Visible interface	Horizontal rule inserted.	Línea horizontal insertada.		Needs review		
GW-0196	EditorView.swift	Visible interface	HTML	HTML		Needs review		
GW-0197	WhyGhostWriterView.swift	Visible interface	I originally built the web version of ghostWriter as a fun little prank. It started off as an innocent markdown editor; a simple text area, a rendered output section below it, code references, just a nice, unsuspecting experience.	Originalmente creé la versión web de ghostWriter como una pequeña broma. Comenzó como un inocente editor de Markdown: un área de texto sencilla, una sección con el resultado renderizado, referencias de código y una experiencia agradable que no despertaba sospechas.		Needs review		
GW-0198	WhyGhostWriterView.swift	Visible interface	I've left out the ghosts for now in this iOS version, but who knows, they may haunt it in the future!	Por ahora he dejado fuera a los fantasmas de esta versión para iOS, pero quién sabe: ¡puede que la acechen en el futuro!		Needs review		
GW-0199	DocumentStorage.swift	Visible interface	iCloud Drive	iCloud Drive		Needs review		
GW-0200	MarkdownInsertion.swift	Visible interface	Image created.	Imagen creada.		Needs review		
GW-0201	LibraryView.swift	Visible interface	Import	Importar		Needs review		
GW-0202	LibraryView.swift	Visible interface	Import document	Importar documento		Needs review		
GW-0203	SettingsView.swift	Visible interface	Indentation	Sangría		Needs review		
GW-0204	MarkdownInsertion.swift	Visible interface	Inline code applied.	Código en línea aplicado.		Needs review		
GW-0205	MarkdownInsertionView.swift	Visible interface	Insert	Insertar		Needs review		
GW-0206	InsertActionsView.swift	Visible interface	Insert Actions	Acciones de inserción		Needs review		
GW-0207	MarkdownInsertionView.swift	Visible interface	Insert Image	Insertar imagen		Needs review		
GW-0208	MarkdownInsertionView.swift	Visible interface	Insert Link	Insertar enlace		Needs review		
GW-0209	TableInsertionView.swift	Visible interface	Insert Table	Insertar tabla		Needs review		
GW-0210	EditorView.swift	Visible interface	Insert…	Insertar…		Needs review		
GW-0211	MarkdownInsertion.swift	Visible interface	Italics applied.	Cursiva aplicada.		Needs review		
GW-0212	EditorView.swift	Visible interface	Jump	Ir		Needs review		
GW-0213	EditorView.swift	Visible interface	Jump to Line	Ir a la línea		Needs review		
GW-0214	EditorView.swift	Visible interface	Jump to Line…	Ir a la línea…		Needs review		
GW-0215	SettingsView.swift	Visible interface	Keyboard Shortcuts	Atajos de teclado		Needs review		
GW-0216	DocumentLanguageView.swift	Visible interface	Language tag	Etiqueta de idioma		Needs review		
GW-0217	SortOrder.swift	Visible interface	Last Opened	Última apertura		Needs review		
GW-0218	BRFOptionsView.swift	Visible interface	Layout	Diseño		Needs review		
GW-0219	OutlineView.swift	Visible interface	Level %lld	Nivel %lld		Needs review		%lld
GW-0220	AcknowledgementsView.swift	Visible interface	liblouis	liblouis		Needs review		
GW-0221	AcknowledgementsView.swift	Visible interface	liblouis is free software licensed under the GNU Lesser General Public License, version 2.1 or later. The project website provides the corresponding upstream source. Distribution of an app that statically links this library may require additional materials or permissions; this acknowledgement is not a claim that every distribution obligation is satisfied.	liblouis es software libre con licencia GNU Lesser General Public License, versión 2.1 o posterior. El sitio web del proyecto proporciona el código fuente original correspondiente. La distribución de una app que enlace estáticamente esta biblioteca puede requerir materiales o permisos adicionales; este agradecimiento no afirma que se hayan cumplido todas las obligaciones de distribución.		Needs review		
GW-0222	AppSettings.swift	Visible interface	Light	Claro		Needs review		
GW-0223	LineNavigation.swift	Visible interface	Line %lld does not exist. This document has %lld lines.	La línea %lld no existe. Este documento tiene %lld líneas.		Needs review		%lld, %lld
GW-0224	SettingsView.swift	Visible interface	Line Count	Número de líneas		Needs review		
GW-0225	LineNavigation.swift	Visible interface	Line Does Not Exist	La línea no existe		Needs review		
GW-0226	EditorView.swift	Visible interface	Line number	Número de línea		Needs review		
GW-0227	BRFOptionsView.swift	Visible interface	Lines per page	Líneas por página		Needs review		
GW-0228	MarkdownInsertion.swift	Visible interface	Link created.	Enlace creado.		Needs review		
GW-0229	SettingsView.swift	Visible interface	Mail Is Not Available	Mail no está disponible		Needs review		
